      Step     Time          Energy          fmax
FIRE:    0 00:12:49    -4185.761719        3.366872
FIRE:    1 00:12:51    -4192.180176        3.080838
FIRE:    2 00:12:54    -4198.112305        2.938340
FIRE:    3 00:12:56    -4203.507812        2.704128
FIRE:    4 00:12:59    -4208.229492        2.311007
FIRE:    5 00:13:01    -4212.247559        2.030936
FIRE:    6 00:13:03    -4215.589844        1.894150
      Step     Time          Energy          fmax
FIRE:    0 08:25:06    -4443.641113        3.309468
FIRE:    1 08:25:11    -4449.868164        3.032626
FIRE:    2 08:25:15    -4455.567871        2.893686
FIRE:    3 08:25:19    -4460.706543        2.660759
FIRE:    4 08:25:24    -4465.143066        2.251562
FIRE:    5 08:25:28    -4468.848633        1.948777
