Diameter,Thickness,Status,Time,Error,name,n_atoms,n_Au,n_Fe,n_Rh,n_O,ratio_Metal_O,min_dist_Au_Au,min_dist_Metal_O,min_dist_O_O,min_dist_Au_Metal,min_dist_Au_O,min_dist_global,Au_connectivity,final_energy_eV,final_fmax_eV_per_A,Au-Au_nn_mean,Au-Au_nn_p05,Au-Au_nn_p50,Au-Au_nn_p95,Au-O_nn_mean,Au-O_nn_p05,Au-O_nn_p50,Au-O_nn_p95,Au-Metal_nn_mean,Au-Metal_nn_p05,Au-Metal_nn_p50,Au-Metal_nn_p95
20.0,2.0,Success,29535.49,,D20_T2,818,428,110,50,230,0.696,2.6052,1.8462,2.5032,2.5773,2.011,1.8462,1.0,-4155.24560546875,2.304253101348877,2.737276484480627,2.651210097543777,2.736651874411416,2.810661771117015,3.841530276561279,2.168373349326075,3.825574020793936,5.365708775908442,4.151439845333723,2.687133120002057,4.197376755609723,5.675724166830331
20.0,2.5,Success,27305.47,,D20_T2,890,500,110,50,230,0.696,2.6167,1.8513,2.4345,2.5607,2.0942,1.8513,1.0,-4385.57666015625,1.949723243713379,2.7450645404629412,2.6730193089482808,2.749458485344956,2.8067155601738003,4.077193253116861,2.1891295909869193,4.291927490138265,5.6228268515774165,4.400792847996998,2.7067787639558847,4.590712112691371,5.925468826873327
